Day,Time,Strike,Expiry,DTE,Option Type,Range High,Range Low,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year,Hedge Strike,Hedge Entry Price,Hedge Exit Price,Entry Time,Hedge Points,Hedge PnL,Hedge ROI%,Total ROI%
2019-07-05,2019-07-05 11:19:00,11950,2019-07-11,6,CE,104.6,99.45,99.45,104.6,20.0,2019-07-05 15:30:00,101.85,18.5,79.45,1171.5481171548115,93079.4979079498,2.389,90280.66945606696,200.0,9.028066945606696,2019,12300,6.85,1.55,2019-07-05 11:19:00,-5.3,-6209.205020920501,-0.6209205020920501,8.407146443514646
2019-07-05,,11950,2019-07-11,6,PE,91.75,84.55,,,,,170.4,77.0,,,,,,,,2019,0,,,,,,0.0,
2020-02-01,2020-02-01 11:26:00,11950,2020-02-06,5,CE,174.3,148.4,148.4,174.3,16.75,2020-02-01 15:29:00,169.45,14.3,131.65,772.200772200772,101660.23166023164,3.3030000000000004,99109.65250965249,131.82570325427466,9.91096525096525,2020,12450,22.3,3.35,2020-02-01 11:26:00,-18.95,-14633.204633204628,-1.4633204633204628,8.447644787644787
2020-02-01,,11950,2020-02-06,5,PE,141.95,119.35,,,,,343.15,119.35,,,,,,,,2020,0,,,,,,0.0,
2021-02-01,,13750,2021-02-04,3,CE,226.0,206.25,,,,,615.15,196.5,,,,,,,,2021,0,,,,,,0.0,
2021-02-01,2021-02-01 11:20:00,13750,2021-02-04,3,PE,200.1,178.15,178.15,200.1,12.0,2021-02-01 15:29:00,200.1,12.0,166.15,911.1617312072898,151389.5216400912,3.803,147924.37357630988,178.9781972014319,14.79243735763099,2021,13350,57.2,5.55,2021-02-01 11:20:00,-51.650000000000006,-47061.503416856525,-4.706150341685653,10.086287015945336
2022-02-01,2022-02-01 11:27:00,17550,2022-02-03,2,CE,246.9,215.3,215.3,246.9,246.9,2022-02-01 12:01:00,258.8,57.15,-31.599999999999994,632.9113924050635,-20000.0,9.244000000000002,-25850.632911392408,158.67992766726948,-2.585063291139241,2022,18100,45.95,57.9,2022-02-01 11:27:00,11.949999999999996,7563.291139240506,0.7563291139240506,-1.8287341772151904
2022-02-01,,17550,2022-02-03,2,PE,226.9,204.75,,,,,379.75,106.25,,,,,,,,2022,0,,,,,,0.0,
2023-02-01,2023-02-01 11:19:00,17800,2023-02-02,1,CE,159.9,115.65,115.65,159.9,159.9,2023-02-01 12:25:00,215.9,11.8,-44.25,451.97740112994353,-20000.0,5.511,-22490.84745762712,114.9313962873285,-2.2490847457627123,2023,18500,4.45,4.25,2023-02-01 11:19:00,-0.20000000000000018,-90.39548022598879,-0.009039548022598879,-2.258124293785311
2023-02-01,,17800,2023-02-02,1,PE,115.95,91.25,,,,,420.0,26.3,,,,,,,,2023,0,,,,,,0.0,
2024-02-01,2024-02-01 11:16:00,21800,2024-02-01,0,CE,117.9,71.8,71.8,117.9,0.7180000000000006,2024-02-01 15:01:00,80.5,0.05,71.082,433.83947939262464,30838.177874186546,1.45036,30208.95444685465,135.11000929656024,3.020895444685465,2024,22650,2.65,0.05,2024-02-01 11:16:00,-2.6,-1127.982646420824,-0.1127982646420824,2.9080971800433826
2024-02-01,,21800,2024-02-01,0,PE,128.2,86.65,,,,,207.0,71.0,,,,,,,,2024,0,,,,,,0.0,
2024-07-23,2024-07-23 11:16:00,24550,2024-07-25,2,CE,220.0,182.0,182.0,220.0,71.1,2024-07-23 15:30:00,189.3,37.9,110.9,526.3157894736842,58368.42105263158,5.062,55704.21052631579,184.58646616541355,5.570421052631579,2024,25300,20.05,3.0,2024-07-23 11:16:00,-17.05,-8973.684210526315,-0.8973684210526315,4.673052631578948
2024-07-23,,24550,2024-07-25,2,PE,259.7,209.55,,,,,519.5,116.4,,,,,,,,2024,0,,,,,,0.0,
