Day,Time,Strike,Expiry,DTE,Option Type,Range High,Range Low,Entry Price,Initial SL,Exit Price,Exit Time,Max Price After Entry,Min Price After Entry,Points,Qty,Pnl,Slippage,Final PnL,Margin,ROI%,Trade Year
2019-07-05,2019-07-05 11:19:00,11950,2019-07-11,6,CE,104.6,99.45,99.45,104.6,20.0,2019-07-05 15:30:00,101.85,18.5,79.45,1171.5481171548117,93079.4979079498,2.3890000000000002,90280.66945606696,200.0,9.028066945606696,2019
2019-07-05,,11950,2019-07-11,6,PE,91.75,84.55,,,,,170.4,77.0,,,,,,,,2019
2020-02-01,2020-02-01 11:26:00,11950,2020-02-06,5,CE,174.3,148.4,148.4,174.3,16.75,2020-02-01 15:29:00,169.45,14.3,131.65,772.200772200772,101660.23166023164,3.3030000000000004,99109.65250965249,131.82570325427466,9.91096525096525,2020
2020-02-01,,11950,2020-02-06,5,PE,141.95,119.35,,,,,343.15,119.35,,,,,,,,2020
2021-02-01,,13750,2021-02-04,3,CE,226.0,206.25,,,,,615.15,196.5,,,,,,,,2021
2021-02-01,2021-02-01 11:20:00,13750,2021-02-04,3,PE,200.1,178.15,178.15,200.1,12.0,2021-02-01 15:29:00,200.1,12.0,166.15,911.1617312072898,151389.5216400912,3.8030000000000004,147924.37357630988,178.9781972014319,14.79243735763099,2021
2022-02-01,2022-02-01 11:27:00,17550,2022-02-03,2,CE,246.9,215.3,215.3,246.9,246.9,2022-02-01 12:01:00,258.8,57.15,-31.599999999999994,632.9113924050635,-20000.0,9.244000000000002,-25850.632911392408,158.67992766726948,-2.585063291139241,2022
2022-02-01,,17550,2022-02-03,2,PE,226.9,204.75,,,,,379.75,106.25,,,,,,,,2022
2023-02-01,2023-02-01 11:19:00,17800,2023-02-02,1,CE,159.9,115.65,115.65,159.9,159.9,2023-02-01 12:25:00,215.9,11.8,-44.25,451.97740112994353,-20000.0,5.511,-22490.847457627122,114.9313962873285,-2.2490847457627123,2023
2023-02-01,,17800,2023-02-02,1,PE,115.95,91.25,,,,,420.0,26.3,,,,,,,,2023
2024-02-01,2024-02-01 11:16:00,21800,2024-02-01,0,CE,117.9,71.8,71.8,117.9,0.7180000000000006,2024-02-01 15:01:00,80.5,0.05,71.082,433.83947939262464,30838.177874186542,1.45036,30208.954446854652,135.11000929656024,3.0208954446854652,2024
2024-02-01,,21800,2024-02-01,0,PE,128.2,86.65,,,,,207.0,71.0,,,,,,,,2024
2024-07-23,2024-07-23 11:16:00,24550,2024-07-25,2,CE,220.0,182.0,182.0,220.0,71.1,2024-07-23 15:30:00,189.3,37.9,110.9,526.3157894736842,58368.42105263158,5.062,55704.21052631579,184.58646616541353,5.570421052631579,2024
2024-07-23,,24550,2024-07-25,2,PE,259.7,209.55,,,,,519.5,116.4,,,,,,,,2024
